asset,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,reason,entry_score,exit_score,holding_days,sig_bear_low_vol,sig_magic_40,sig_magic_19,sig_ma_cross,sig_momentum,sig_rsi,sig_macd,sig_hurst
ETH-USD,2023-01-13,2023-02-07,1451.6148681640625,1672.0035400390625,2.296293187978423,506.0770059341744,15.182310178025233,TAKE_PROFIT,72.47560975609757,57.621951219512205,25,1.0,1.0,1.0,0.5,1.0,95.1168119269058,24.356040661706103,0.4763078823045022
ETH-USD,2023-02-08,2023-02-09,1650.716796875,1546.438232421875,2.0193247803885703,-210.57228926354173,-6.31716867790626,SIGNAL_WEAK,74.08536585365854,13.821138211382111,1,1.0,1.0,1.0,0.5,0.0,54.65003141883622,-8.029773553337279,0.4598132469286489
SOL-USD,2023-02-20,2023-02-22,26.181386947631836,24.18134880065918,127.3169118198622,-254.63868039447834,-7.6391604118343475,STOP_LOSS,72.40506329113924,66.21835443037975,2,1.0,1.0,1.0,0.5,0.0,61.18574962879937,0.21745048113999488,0.5721202716713748
BTC-USD,2023-03-22,2023-03-23,27307.4375,28333.97265625,0.12206686670374449,125.30593008467622,3.759177902540288,SIGNAL_WEAK,62.48780487804878,37.9390243902439,1,0.0,1.0,1.0,0.5,1.0,72.20290785643229,523.8766135988216,0.45867632846276873
SOL-USD,2023-04-11,2023-04-20,23.018827438354492,22.181440353393555,144.80899786316908,-121.26118459675354,-3.637835537902613,SIGNAL_WEAK,69.1139240506329,32.75316455696203,9,1.0,1.0,1.0,0.5,0.0,68.245294027028,0.15597385217238655,0.4678198567068321
BTC-USD,2023-06-21,2023-07-04,30027.296875,30777.58203125,0.11101010348049631,83.2892328351927,2.498676985055785,SIGNAL_WEAK,67.39024390243902,30.817073170731703,13,0.0,1.0,1.0,0.5,1.0,76.26640199938626,397.4295178027023,0.23266060006028144
SOL-USD,2023-07-05,2023-07-08,18.99286460876465,21.859268188476562,175.50450666589273,503.06674616268856,15.09200238488065,TAKE_PROFIT,66.21835443037975,79.68037974683546,3,1.0,1.0,1.0,-0.5,0.0,60.88338133218273,0.4106865187846073,0.4145689205904297
SOL-USD,2023-07-09,2023-07-13,21.3490047454834,26.02569580078125,156.135303405117,730.1965768509267,21.90589730552781,TAKE_PROFIT,69.7120253164557,65.31012658227849,4,1.0,1.0,1.0,0.5,0.0,73.24871101386736,0.5121369818474096,0.41157523701715465
SOL-USD,2023-07-14,2023-07-20,26.7357177734375,25.375167846679688,124.6771589070659,-169.62949941938086,-5.08888498258142,STOP_LOSS,80.67721518987342,56.43354430379746,6,1.0,1.0,1.0,0.5,1.0,87.29606888013335,0.7384705036692643,0.43974977939453014
SOL-USD,2023-07-21,2023-07-24,25.544267654418945,23.38149070739746,130.49242117366768,-282.2260002754265,-8.4667800082628,STOP_LOSS,68.11708860759494,54.82594936708861,3,1.0,1.0,1.0,0.5,0.0,68.33717784383356,0.10523532377283251,0.5623237610199191
SOL-USD,2023-07-26,2023-07-31,25.177053451538086,23.720956802368164,132.39568878659617,-192.78091880670672,-5.783427564201194,STOP_LOSS,87.57911392405065,45.09493670886076,5,1.0,1.0,1.0,0.5,0.0,61.524621407302675,-0.37819853427985595,0.5682341738681087
SOL-USD,2023-09-30,2023-10-19,21.3951473236084,24.93791961669922,155.7985688490763,551.9588530217102,16.5587655906513,TAKE_PROFIT,63.07278481012658,57.83227848101266,19,1.0,1.0,1.0,0.5,0.0,70.25209047504022,0.2626941843553068,0.5461521264835837
BTC-USD,2023-10-16,2023-10-23,28519.466796875,33086.234375,0.11687923049453999,533.760280378664,16.01280841135992,TAKE_PROFIT,63.17073170731708,78.02439024390245,7,1.0,1.0,1.0,0.5,0.0,61.279424367326804,6.941515174760838,0.38839584839512864
SOL-USD,2023-10-20,2023-10-23,27.033674240112305,31.850984573364258,123.30300734287039,593.9888513938508,17.819665541815528,TAKE_PROFIT,72.4367088607595,64.06329113924052,3,1.0,1.0,1.0,0.5,0.0,69.74709184317712,0.32581108306811923,0.3782524640699157
ETH-USD,2023-10-25,2023-10-27,1787.3975830078125,1780.0452880859375,1.8649087170208867,-13.7113588899133,-0.4113407666973926,SIGNAL_WEAK,82.20731707317074,38.540650406504064,2,1.0,1.0,1.0,0.5,0.0,81.77372836824651,26.82576485893083,0.2853604374426397
SOL-USD,2023-10-24,2023-10-30,30.15153694152832,34.962337493896484,110.5526839244558,531.8469128895549,15.955407386686652,TAKE_PROFIT,64.06329113924052,54.05379746835443,6,0.0,1.0,1.0,0.5,1.0,76.75874214232215,0.8011929082972991,0.37919901993725147
BTC-USD,2023-10-24,2023-11-02,33901.52734375,34938.2421875,0.09832398698543765,101.93393680448526,3.0580181041345504,SIGNAL_WEAK,78.02439024390245,37.9390243902439,9,1.0,1.0,1.0,0.5,1.0,89.88042739096166,597.2561803852985,0.35975966372744395
SOL-USD,2023-11-01,2023-11-10,41.461544036865234,56.64385223388672,80.39578387070014,1220.5935684660985,36.61780705398295,TAKE_PROFIT,78.09493670886077,66.05696202531647,9,0.0,1.0,1.0,0.5,1.0,86.98833673649787,1.027145294869098,0.5438124690749077
SOL-USD,2023-11-11,2023-11-13,56.1026611328125,51.90705108642578,59.41488810026843,-249.28170141842884,-7.478451042552868,STOP_LOSS,63.63291139240508,62.58860759493672,2,0.0,1.0,1.0,0.5,1.0,88.64741172779553,1.4232334659855477,0.5710934121497834
SOL-USD,2023-11-15,2023-11-16,65.5344009399414,57.871402740478516,50.86387127255723,-389.76975397931847,-11.69309261937955,STOP_LOSS,76.81329113924052,47.07278481012658,1,0.0,1.0,1.0,0.5,1.0,80.28116879446345,1.5183727018924396,0.5739215143584204
ETH-USD,2023-11-01,2023-11-21,1847.0897216796875,1937.0667724609375,1.8046407243834919,162.37625009976546,4.871287502992957,SIGNAL_WEAK,93.18292682926831,23.47560975609756,20,1.0,1.0,1.0,0.5,1.0,91.89160507481263,16.231683193087285,0.465685438884882
SOL-USD,2023-11-22,2023-11-23,57.588558197021484,56.599369049072266,57.88186816432115,-57.256115851173945,-1.7176834755352155,SIGNAL_WEAK,74.7626582278481,39.00316455696203,1,0.0,1.0,1.0,0.5,1.0,62.39398851045964,-0.7133683847568459,0.5568373913704001
BTC-USD,2023-12-06,2023-12-07,43746.4453125,43292.6640625,0.07619666716968373,-34.576618874092674,-1.0372985662227912,SIGNAL_WEAK,60.25609756097561,37.9390243902439,1,0.0,1.0,1.0,0.5,1.0,86.52013225240744,525.8036092320172,0.4275814459765162
SOL-USD,2023-12-06,2023-12-08,61.902957916259766,75.00243377685547,53.84772304164454,705.3769481320655,21.16130844396197,TAKE_PROFIT,61.946202531645575,59.74367088607596,2,0.0,1.0,1.0,0.5,0.0,61.03450550128141,-0.45444518293528713,0.5054850020062346
ETH-USD,2023-12-13,2023-12-14,2260.648681640625,2316.5791015625,1.4745030311008904,82.46957370555037,2.4740872111665095,SIGNAL_WEAK,62.601626016260155,29.369918699186993,1,0.0,1.0,1.0,1.0,0.0,66.69357582429463,-6.010142431226697,0.3781367466452366
SOL-USD,2023-12-13,2023-12-20,70.76778411865234,82.19123077392578,47.10241213352847,538.0718923420668,16.142156770262,TAKE_PROFIT,64.24050632911393,79.03481012658229,7,0.0,1.0,1.0,0.5,0.0,66.43932906404714,0.14541323931119,0.4190241857673519
SOL-USD,2023-12-22,2023-12-25,98.00369262695312,121.1464614868164,34.012323862341844,787.1393495329903,23.61418048598969,TAKE_PROFIT,63.06645569620253,57.06012658227848,3,0.0,1.0,1.0,0.5,1.0,70.91602940101122,1.9564096034172884,0.30552788715871887
SOL-USD,2023-12-27,2023-12-31,107.02379608154297,101.50582122802734,31.145721375773466,-171.86130734612243,-5.155839220383662,STOP_LOSS,75.07911392405063,61.47151898734178,4,0.0,1.0,1.0,0.5,1.0,73.0446281793274,3.0413978034806988,0.3253271407076109
SOL-USD,2024-01-01,2024-01-03,109.50868225097656,98.59443664550781,30.438986798269212,-332.218577897931,-9.966557336937932,STOP_LOSS,63.06645569620253,69.6360759493671,2,0.0,1.0,1.0,0.5,1.0,70.54511736555509,-0.25682610487262636,0.32225123863250843
